Only x86_64 / Linux distributed in NPM package right now.
Trying globally installed anchor.
    Finished release [optimized] target(s) in 0.34s
Ledger location: .anchor/test-ledger
Log: .anchor/test-ledger/validator.log
Initializing...
thread 'main' panicked at cli/src/lib.rs:4309:48:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Waiting for fees to stabilize 1...
Waiting for fees to stabilize 2...
Connecting...
Identity: 6QeckaCUbewqP2NqjRwrvk6B38F93HAEp7DCH8unPTY1
Genesis Hash: CMEKF79MrXq5qf4EHvUniUoCoJncAfnsoB48GQXQeb7s
Version: 1.16.24
Shred Version: 54965
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:24 | Processed Slot: 50 | Confirmed Slot: 50 | Finalized Slot: 18 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 50 | ◎499.999757500
00:00:24 | Processed Slot: 51 | Confirmed Slot: 50 | Finalized Slot: 19 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 51 | ◎499.999757500
00:00:25 | Processed Slot: 51 | Confirmed Slot: 51 | Finalized Slot: 19 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 51 | ◎499.999752500
00:00:25 | Processed Slot: 52 | Confirmed Slot: 52 | Finalized Slot: 20 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 52 | ◎499.999747500
00:00:25 | Processed Slot: 52 | Confirmed Slot: 52 | Finalized Slot: 20 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 52 | ◎499.999747500
00:00:25 | Processed Slot: 53 | Confirmed Slot: 53 | Finalized Slot: 21 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 53 | ◎499.999742500
00:00:26 | Processed Slot: 53 | Confirmed Slot: 53 | Finalized Slot: 21 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 53 | ◎499.999742500
00:00:26 | Processed Slot: 54 | Confirmed Slot: 54 | Finalized Slot: 22 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 54 | ◎499.999737500
00:00:26 | Processed Slot: 54 | Confirmed Slot: 54 | Finalized Slot: 22 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 54 | ◎499.999737500
00:00:26 | Processed Slot: 55 | Confirmed Slot: 55 | Finalized Slot: 23 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 55 | ◎499.999732500
00:00:27 | Processed Slot: 55 | Confirmed Slot: 55 | Finalized Slot: 23 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 55 | ◎499.999732500
00:00:27 | Processed Slot: 56 | Confirmed Slot: 56 | Finalized Slot: 24 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 56 | ◎499.999727500
00:00:27 | Processed Slot: 57 | Confirmed Slot: 57 | Finalized Slot: 25 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 57 | ◎499.999722500
